order_id,order_date,customer_id,product_id,quantity,unit_price,discount,revenue,shipping_cost,status
O01678,2024-02-14,C0150,P011,4,98.09,,392.36,$35.10,Delivered
O02319,2024-02-14,C0200,P030,3,233.43,0.2,560.23,$11.45,Delivered
O00163,2024-02-15,C0063,P032,1,506.4,,506.4,$43.63,Delivered
O01059,2024-02-15,C0187,P024,5,36.36,0.15,154.53,$19.75,Delivered
O02307,2024-02-16,C0193,P033,3,372.51,,1117.53,$40.93,Shipped
O01626,2024-02-17,C0190,P010,3,1001.92,0.0,3005.76,$11.45,Delivered
O00983,2024-02-19,C0055,P016,4,513.76,0.2,1644.03,$12.42,Delivered
O01411,2024-02-19,C0053,P021,3,11.04,0.0,33.12,$30.32,Shipped
O02142,2024-02-19,C0143,P031,1,482.84,0.0,482.84,$22.74,Delivered
O02322,2024-02-19,C0017,P029,1,584.1,0.15,496.48,$8.19,Delivered
O02372,2024-02-19,C0016,P005,2,1038.27,0.2,1661.23,$43.45,Shipped
O00351,2024-02-20,C0148,P011,1,98.09,0.2,78.47,$29.97,Delivered
O00622,2024-02-20,C0129,P010,1,1001.92,,1001.92,$34.03,Delivered
O01786,2024-02-20,C0160,P001,3,455.53,0.0,1366.59,$16.41,Delivered
O01255,2024-02-21,C0139,P028,1,10.85,0.0,10.85,$22.81,Delivered
O02260,2024-02-21,C0014,P008,2,999.67,0.0,1999.34,$8.75,Delivered
O02300,2024-02-21,C0026,P010,1,1001.92,0.1,901.73,$43.05,Delivered
O01905,2024-02-22,C0121,P033,4,372.51,0.0,1490.04,$23.24,Delivered
O02047,2024-02-23,C0110,P001,1,455.53,,455.53,$18.26,Delivered
O01467,2024-02-24,C0130,P016,3,513.76,0.15,1310.09,$35.27,Delivered
O02379,2024-02-24,C0159,P014,1,386.46,0.15,328.49,$13.88,Delivered
O00786,2024-02-25,C0126,P007,1,545.77,0.0,545.77,$8.89,Delivered
O00364,2024-02-26,C0128,P014,3,386.46,,1159.38,$17.55,Delivered
O01398,2024-02-26,C0193,P014,3,386.46,0.15,985.47,$33.76,Delivered
O02125,2024-02-26,C0127,P026,3,38.82,0.0,116.46,$8.78,Delivered
O02018,2024-02-28,C0200,P032,2,506.4,,1012.8,$19.88,Delivered
O00049,2024-02-29,C0121,P013,10,257.23,,2572.3,$35.55,Delivered
O00125,2024-02-29,C0140,P034,4,178.15,,712.6,$15.19,Shipped
O00887,2024-02-29,C0122,P008,1,999.67,0.2,799.74,$4.85,Delivered
O01495,2024-02-29,C0049,P025,10,5.24,0.05,49.78,$22.13,Delivered
O01503,2024-02-29,C0151,P024,2,36.36,0.0,72.72,$6.66,Shipped
O00294,2024-03-01,C0151,P007,1,545.77,0.15,463.9,$9.59,Delivered
O00497,2024-03-01,C0084,P033,5,372.51,0.2,1490.04,$29.16,Delivered
O01208,2024-03-01,C0142,P027,1,33.5,0.05,31.82,$6.29,Delivered
O01999,2024-03-01,C0141,P019,1,25.78,0.15,21.91,$4.73,Delivered
O02039,2024-03-02,C0065,P009,2,739.26,0.05,1404.59,$9.43,Delivered
O00196,2024-03-03,C0065,P010,3,1001.92,0.2,2404.61,$7.03,Cancelled
O02196,2024-03-03,C0093,P025,1,5.24,0.15,4.45,$32.11,Delivered
O00837,2024-03-04,C0082,P029,1,584.1,0.15,496.48,$36.78,Delivered
O00845,2024-03-04,C0068,P016,1,513.76,,513.76,$7.52,Delivered
O01284,2024-03-04,C0082,P007,2,545.77,0.2,873.23,$12.19,Delivered
O00267,2024-03-05,C0180,P024,2,36.36,0.0,72.72,$30.13,Delivered
O00931,2024-03-05,C0043,P002,3,603.39,0.0,1810.17,$30.40,Delivered
O01628,2024-03-05,C0160,P025,1,5.24,0.05,4.98,$17.22,Delivered
O02127,2024-03-05,C0053,P024,1,36.36,0.0,36.36,$19.84,Delivered
O02335,2024-03-05,C0140,P003,3,452.27,0.2,1085.45,$22.93,Delivered
O02348,2024-03-06,C0084,P028,1,10.85,0.0,10.85,$37.63,Returned
O00308,2024-03-07,C0101,P036,4,202.5,0.0,810.0,$6.23,Delivered
O02193,2024-03-07,C0160,P028,1,10.85,0.0,10.85,$17.12,Delivered
O02369,2024-03-07,C0022,P029,3,584.1,0.05,1664.69,$31.24,Delivered
O01654,2024-03-08,C0187,P020,1,13.35,,13.35,$31.40,Delivered
O02256,2024-03-08,C0051,P031,1,482.84,0.05,458.7,$6.32,Shipped
O00288,2024-03-09,C0045,P012,1,896.58,0.15,762.09,$37.05,Delivered
O00344,2024-03-09,C0190,P017,3,670.34,0.0,2011.02,$42.82,Shipped
O01158,2024-03-09,C0027,P033,2,372.51,0.05,707.77,$44.69,Delivered
O01266,2024-03-09,C0187,P012,2,896.58,0.15,1524.19,$25.21,Delivered
O00153,2024-03-10,C0119,P004,2,986.74,0.0,1973.48,$19.93,Delivered
O01574,2024-03-10,C0174,P027,4,33.5,,134.0,$39.35,Delivered
O01705,2024-03-11,C0082,P035,1,483.75,0.05,459.56,$36.62,Delivered
O02088,2024-03-11,C0022,P035,4,483.75,,1935.0,$15.77,Delivered
O01323,2024-03-13,C0189,P022,10,11.74,0.1,105.66,$31.20,Delivered
O00270,2024-03-14,C0035,P007,1,545.77,0.0,545.77,$22.43,Delivered
O00302,2024-03-14,C0106,P032,5,506.4,0.15,2152.2,$26.39,Delivered
O00315,2024-03-14,C0077,P006,1,959.76,0.0,959.76,$8.93,Delivered
O00169,2024-03-15,C0074,P002,2,603.39,0.0,1206.78,$8.39,Delivered
O01416,2024-03-15,C0186,P010,1,1001.92,0.0,1001.92,$43.16,Returned
O01631,2024-03-15,C0007,P035,3,483.75,0.15,1233.56,$43.14,Delivered
O00127,2024-03-17,C0087,P019,1,25.78,0.2,20.62,$37.91,Delivered
O00537,2024-03-17,C0169,P032,1,506.4,0.15,430.44,$13.05,Delivered
O01008,2024-03-17,C0036,P009,1,739.26,0.0,739.26,$24.49,Delivered
O00332,2024-03-18,C0200,P014,4,386.46,0.05,1468.55,$31.79,Delivered
O01140,2024-03-19,C0136,P003,2,452.27,0.0,904.54,$31.66,Shipped
O01341,2024-03-19,C0025,P009,2,739.26,0.15,1256.74,$23.20,Delivered
O00479,2024-03-20,C0091,P034,1,178.15,0.1,160.34,$7.81,Delivered
O01521,2024-03-20,C0130,P007,10,545.77,0.2,4366.16,$28.32,Delivered
O02015,2024-03-20,C0088,P011,1,98.09,0.15,83.38,$5.22,Shipped
O02205,2024-03-20,C0166,P032,5,506.4,0.15,2152.2,$4.64,Delivered
O00832,2024-03-21,C0021,P032,2,506.4,0.2,810.24,$41.99,Delivered
O01524,2024-03-21,C0089,P030,1,233.43,,233.43,$4.03,Delivered
O01022,2024-03-22,C0159,P028,2,10.85,0.0,21.7,$32.64,Delivered
O00040,2024-03-24,C0174,P025,1,5.24,0.0,5.24,$17.67,Delivered
O00491,2024-03-24,C0116,P012,3,896.58,0.0,2689.74,$33.55,Shipped
O01079,2024-03-24,C0026,P001,3,455.53,0.0,1366.59,$5.05,Delivered
O02237,2024-03-24,C0056,P013,1,257.23,0.0,257.23,$43.22,Returned
O00141,2024-03-25,C0166,P027,2,33.5,0.2,53.6,$19.40,Delivered
O01774,2024-03-25,C0150,P029,2,584.1,0.0,1168.2,$15.88,Delivered
O02342,2024-03-25,C0098,P003,1,452.27,0.0,452.27,$23.45,Delivered
O01336,2024-03-26,C0188,P013,2,257.23,0.0,514.46,$15.92,Delivered
O00598,2024-03-27,C0052,P001,2,455.53,0.1,819.95,$4.50,Delivered
O00644,2024-03-27,C0051,P014,3,386.46,0.15,985.47,$16.29,Delivered
O00846,2024-03-27,C0083,P026,3,38.82,0.2,93.17,$33.05,Delivered
O01245,2024-03-27,C0116,P027,1,33.5,0.0,33.5,$7.79,Returned
O02208,2024-03-27,C0124,P031,1,482.84,0.05,458.7,$25.38,Delivered
O00794,2024-03-28,C0170,P032,2,506.4,0.1,911.52,$26.24,Shipped
O01050,2024-03-28,C0162,P001,1,455.53,,455.53,$6.87,Delivered
O01081,2024-03-28,C0169,P031,1,482.84,0.15,410.41,$4.68,Delivered
O01200,2024-03-28,C0200,P010,1,1001.92,0.2,801.54,$22.31,Delivered
O01473,2024-03-28,C0126,P035,1,483.75,,483.75,$33.06,Delivered
O02006,2024-03-28,C0200,P008,4,999.67,0.2,3198.94,$26.99,Delivered
O02151,2024-03-28,C0039,P016,4,513.76,0.1,1849.54,$29.67,Delivered
O00707,2024-03-29,C0136,P007,10,545.77,0.05,5184.81,$23.03,Delivered
O01803,2024-03-29,C0093,P005,1,1038.27,0.15,882.53,$34.43,Delivered
O00406,2024-03-30,C0045,P033,1,372.51,0.0,372.51,$21.57,Delivered
O00274,2024-03-31,C0045,P002,10,603.39,,6033.9,$26.79,Delivered
O00590,2024-03-31,C0074,P030,1,233.43,0.1,210.09,$29.14,Delivered
O01217,2024-03-31,C0015,P015,10,857.48,0.0,8574.8,$37.48,Delivered
O02217,2024-03-31,C0198,P033,2,372.51,0.1,670.52,$16.24,Delivered
O00212,2024-04-01,C0062,P020,1,13.35,0.15,11.35,$32.43,Delivered
O00230,2024-04-01,C0083,P019,1,25.78,0.0,25.78,$27.21,Delivered
O00185,2024-04-02,C0142,P006,4,959.76,0.0,3839.04,$15.97,Delivered
O02035,2024-04-02,C0134,P018,4,610.13,,2440.52,$26.45,Delivered
O01629,2024-04-03,C0058,P021,1,11.04,0.15,9.38,$40.62,Delivered
O02069,2024-04-03,C0034,P019,1,25.78,0.0,25.78,$5.29,Delivered
O01267,2024-04-06,C0026,P009,3,739.26,0.1,1996.0,$38.33,Delivered
O01708,2024-04-06,C0014,P030,2,233.43,,466.86,$28.23,Delivered
O02389,2024-04-06,C0012,P002,3,603.39,,1810.17,$33.31,Delivered
O00091,2024-04-07,C0107,P002,1,603.39,0.1,543.05,$23.80,Shipped
O00591,2024-04-07,C0133,P010,1,1001.92,0.0,1001.92,$11.37,Delivered
O00791,2024-04-07,C0065,P032,1,506.4,0.0,506.4,$34.25,Shipped
O01449,2024-04-07,C0075,P032,2,506.4,,1012.8,$16.11,Delivered
O01515,2024-04-07,C0009,P008,2,999.67,,1999.34,$28.06,Delivered
O01581,2024-04-07,C0067,P018,1,610.13,0.1,549.12,$5.06,Shipped
O00802,2024-04-09,C0090,P004,3,986.74,0.05,2812.21,$13.62,Delivered
O00831,2024-04-09,C0042,P029,3,584.1,0.2,1401.84,$36.36,Delivered
O02240,2024-04-09,C0061,P011,1,98.09,0.15,83.38,$32.80,Delivered
O00298,2024-04-10,C0157,P015,2,857.48,0.0,1714.96,$42.40,Delivered
O00680,2024-04-10,C0199,P004,1,986.74,0.15,838.73,$44.83,Delivered
O00834,2024-04-11,C0141,P021,2,11.04,0.0,22.08,$35.24,Delivered
O00372,2024-04-12,C0041,P007,2,545.77,,1091.54,$36.89,Delivered
O02284,2024-04-12,C0028,P022,3,11.74,,35.22,$7.46,Delivered
O01083,2024-04-13,C0157,P006,5,959.76,,4798.8,$44.46,Shipped
O00227,2024-04-14,C0020,P006,3,959.76,0.15,2447.39,$22.64,Delivered
O00708,2024-04-15,C0054,P018,1,610.13,0.0,610.13,$36.66,Delivered
O01205,2024-04-15,C0108,P034,3,178.15,0.0,534.45,$13.64,Delivered
O01736,2024-04-15,C0012,P014,1,386.46,0.0,386.46,$40.59,Delivered
O00087,2024-04-16,C0182,P015,5,857.48,0.0,4287.4,$14.27,Delivered
O00374,2024-04-16,C0106,P029,1,584.1,0.1,525.69,$30.85,Delivered
O01413,2024-04-16,C0167,P024,2,36.36,0.0,72.72,$19.10,Delivered
O02150,2024-04-17,C0087,P008,1,999.67,0.05,949.69,$35.87,Delivered
O01849,2024-04-18,C0043,P032,3,506.4,0.05,1443.24,$7.18,Delivered
O00242,2024-04-19,C0071,P006,1,959.76,0.1,863.78,$35.94,Delivered
O00422,2024-04-20,C0075,P020,2,13.35,0.1,24.03,$35.38,Delivered
O00674,2024-04-20,C0081,P036,1,202.5,0.0,202.5,$38.10,Delivered
O01048,2024-04-20,C0007,P015,4,857.48,0.15,2915.43,$18.05,Delivered
O01197,2024-04-20,C0046,P028,3,10.85,0.0,32.55,$40.62,Delivered
O01469,2024-04-20,C0095,P031,1,482.84,0.0,482.84,$7.91,Delivered
O01820,2024-04-20,C0005,P021,2,11.04,0.0,22.08,$19.75,Delivered
O00223,2024-04-21,C0016,P023,1,39.29,0.1,35.36,$15.86,Delivered
O00284,2024-04-21,C0140,P032,1,506.4,0.15,430.44,$19.92,Delivered
O01338,2024-04-21,C0153,P020,1,13.35,0.2,10.68,$31.84,Delivered
O01951,2024-04-22,C0005,P014,1,386.46,0.0,386.46,$30.61,Delivered
O00266,2024-04-23,C0037,P018,1,610.13,0.05,579.62,$40.79,Delivered
O01623,2024-04-23,C0084,P035,2,483.75,0.0,967.5,$27.18,Cancelled
O00376,2024-04-24,C0159,P007,2,545.77,0.05,1036.96,$23.76,Delivered
O00770,2024-04-24,C0030,P009,5,739.26,,3696.3,$18.28,Delivered
O01273,2024-04-24,C0027,P008,1,999.67,0.1,899.7,$14.74,Delivered
O01737,2024-04-24,C0019,P014,2,386.46,0.0,772.92,$41.81,Delivered
O01930,2024-04-24,C0056,P021,1,11.04,0.1,9.94,$14.20,Delivered
O02042,2024-04-25,C0115,P010,1,1001.92,0.0,1001.92,$39.62,Delivered
O02154,2024-04-26,C0100,P033,1,372.51,0.0,372.51,$31.40,Shipped
O00034,2024-04-27,C0015,P024,4,36.36,0.0,145.44,$30.43,Cancelled
O00600,2024-04-27,C0105,P029,1,584.1,0.0,584.1,$14.03,Delivered
O00948,2024-04-27,C0186,P036,10,202.5,0.2,1620.0,$12.64,Delivered
O01972,2024-04-27,C0146,P022,1,11.74,0.05,11.15,$10.66,Delivered
O02044,2024-04-29,C0100,P023,1,39.29,0.05,37.33,$24.09,Returned
O00239,2024-04-30,C0018,P034,1,178.15,0.15,151.43,$33.62,Delivered
O02273,2024-04-30,C0093,P011,1,98.09,0.0,98.09,$28.56,Delivered
O02275,2024-04-30,C0073,P034,1,178.15,0.1,160.34,$43.07,Delivered
O00973,2024-05-01,C0110,P007,3,545.77,,1637.31,$25.21,Delivered
O01760,2024-05-01,C0117,P035,4,483.75,0.05,1838.25,$9.92,Delivered
O02395,2024-05-01,C0047,P001,5,455.53,0.2,1822.12,$21.94,Delivered
O00310,2024-05-02,C0075,P006,2,959.76,0.0,1919.52,$16.64,Delivered
O02138,2024-05-02,C0038,P035,3,483.75,0.2,1161.0,$30.11,Delivered
O01923,2024-05-03,C0042,P006,10,959.76,,9597.6,$9.11,Delivered
O01942,2024-05-03,C0063,P001,1,455.53,0.0,455.53,$35.42,Delivered
O00360,2024-05-04,C0141,P017,2,670.34,0.0,1340.68,$12.43,Delivered
O00911,2024-05-04,C0186,P009,1,739.26,0.1,665.33,$25.37,Delivered
O01879,2024-05-04,C0125,P006,1,959.76,0.0,959.76,$22.64,Delivered
O00402,2024-05-05,C0179,P019,3,25.78,0.0,77.34,$41.99,Delivered
O01067,2024-05-05,C0178,P020,5,13.35,0.1,60.08,$34.09,Delivered
O01173,2024-05-05,C0190,P026,2,38.82,0.0,77.64,$10.79,Delivered
O00283,2024-05-06,C0135,P016,3,513.76,0.2,1233.02,$36.06,Delivered
O00699,2024-05-06,C0189,P026,2,38.82,0.0,77.64,$17.19,Cancelled
O00419,2024-05-07,C0046,P017,1,670.34,0.1,603.31,$20.71,Delivered
O01155,2024-05-07,C0174,P022,1,11.74,,11.74,$15.87,Delivered
O00423,2024-05-08,C0102,P002,1,603.39,0.2,482.71,$36.67,Shipped
O00542,2024-05-08,C0143,P036,2,202.5,0.0,405.0,$35.42,Delivered
O00604,2024-05-08,C0093,P003,1,452.27,0.1,407.04,$17.24,Shipped
O00492,2024-05-09,C0143,P028,4,10.85,0.05,41.23,$9.98,Returned
O00512,2024-05-09,C0189,P025,4,5.24,0.05,19.91,$14.78,Delivered
O01675,2024-05-09,C0003,P008,3,999.67,,2999.01,$13.52,Delivered
O00206,2024-05-10,C0085,P036,2,202.5,,405.0,$13.51,Delivered
O01175,2024-05-10,C0001,P011,1,98.09,,98.09,$24.66,Delivered
O01241,2024-05-10,C0030,P018,5,610.13,0.0,3050.65,$30.25,Delivered
O01430,2024-05-10,C0186,P033,1,372.51,0.0,372.51,$28.34,Delivered
O00487,2024-05-11,C0129,P023,1,39.29,0.0,39.29,$32.63,Delivered
O00336,2024-05-12,C0160,P026,2,38.82,0.0,77.64,$24.97,Delivered
O00398,2024-05-12,C0004,P034,1,178.15,0.2,142.52,$9.96,Delivered
O01709,2024-05-12,C0044,P002,1,603.39,0.15,512.88,$23.54,Delivered
O01026,2024-05-13,C0130,P003,2,452.27,0.0,904.54,$30.19,Delivered
O01390,2024-05-13,C0075,P016,2,513.76,0.1,924.77,$17.07,Delivered
O01400,2024-05-13,C0119,P028,2,10.85,0.1,19.53,$10.66,Delivered
O00548,2024-05-14,C0077,P015,1,857.48,0.15,728.86,$4.89,Shipped
O01787,2024-05-14,C0121,P025,1,5.24,0.2,4.19,$17.76,Shipped
O02338,2024-05-14,C0158,P035,2,483.75,0.05,919.12,$32.65,Delivered
O00900,2024-05-15,C0036,P008,4,999.67,,3998.68,$43.76,Delivered
O01491,2024-05-15,C0099,P031,1,482.84,0.0,482.84,$40.21,Shipped
O01783,2024-05-15,C0065,P013,5,257.23,0.0,1286.15,$24.07,Returned
O02308,2024-05-15,C0022,P029,10,584.1,0.1,5256.9,$42.04,Delivered
O00355,2024-05-16,C0077,P019,2,25.78,0.2,41.25,$40.41,Cancelled
O00871,2024-05-16,C0064,P034,2,178.15,0.0,356.3,$25.05,Delivered
O00112,2024-05-17,C0045,P030,5,233.43,0.15,992.08,$26.40,Delivered
O00610,2024-05-17,C0001,P008,1,999.67,0.0,999.67,$34.24,Delivered
O00854,2024-05-17,C0059,P012,1,896.58,0.1,806.92,$10.71,Delivered
O01258,2024-05-17,C0027,P006,2,959.76,0.2,1535.62,$8.25,Delivered
O02296,2024-05-17,C0171,P005,1,1038.27,0.0,1038.27,$5.73,Delivered
O00858,2024-05-18,C0135,P012,2,896.58,0.0,1793.16,$14.09,Delivered
O01632,2024-05-18,C0081,P015,3,857.48,0.05,2443.82,$16.42,Delivered
O01818,2024-05-18,C0148,P022,3,11.74,0.0,35.22,$43.58,Delivered
O00082,2024-05-19,C0127,P002,1,603.39,0.15,512.88,$23.16,Cancelled
O00085,2024-05-19,C0175,P034,3,178.15,0.0,534.45,$35.48,Delivered
O00305,2024-05-19,C0024,P022,2,11.74,0.0,23.48,$21.68,Delivered
O00646,2024-05-19,C0157,P033,2,372.51,0.0,745.02,$38.95,Delivered
O00661,2024-05-19,C0016,P031,3,482.84,0.1,1303.67,$37.16,Delivered
O01348,2024-05-19,C0164,P010,1,1001.92,0.1,901.73,$33.48,Returned
O00430,2024-05-20,C0073,P005,5,1038.27,0.15,4412.65,$23.92,Delivered
O00811,2024-05-20,C0052,P027,2,33.5,0.0,67.0,$40.12,Delivered
O00996,2024-05-20,C0167,P003,1,452.27,0.05,429.66,$22.54,Delivered
O02115,2024-05-20,C0100,P007,2,545.77,0.0,1091.54,$4.44,Delivered
O00004,2024-05-21,C0158,P003,3,452.27,0.1,1221.13,$22.78,Cancelled
O00652,2024-05-21,C0107,P030,5,233.43,0.2,933.72,$29.55,Delivered
O00669,2024-05-21,C0137,P015,2,857.48,0.0,1714.96,$25.75,Delivered
O00761,2024-05-22,C0154,P024,4,36.36,,145.44,$43.94,Shipped
O01499,2024-05-22,C0156,P030,4,233.43,0.0,933.72,$5.57,Delivered
O01595,2024-05-22,C0059,P016,2,513.76,0.0,1027.52,$17.07,Delivered
O01712,2024-05-22,C0116,P020,2,13.35,0.1,24.03,$17.55,Delivered
O01520,2024-05-23,C0103,P020,1,13.35,0.05,12.68,$35.29,Returned
O00485,2024-05-24,C0148,P018,5,610.13,0.1,2745.58,$20.31,Delivered
O01429,2024-05-24,C0115,P027,2,33.5,,67.0,$32.70,Delivered
O01769,2024-05-24,C0178,P014,1,386.46,0.0,386.46,$30.29,Delivered
O01967,2024-05-24,C0121,P017,5,670.34,0.15,2848.94,$29.89,Delivered
O02022,2024-05-24,C0142,P036,3,202.5,0.15,516.38,$8.91,Shipped
O02400,2024-05-25,C0050,P028,2,10.85,0.05,20.62,$16.06,Delivered
O00089,2024-05-26,C0165,P011,1,98.09,0.15,83.38,$38.54,Delivered
O01747,2024-05-26,C0052,P006,1,959.76,0.0,959.76,$23.23,Delivered
O02107,2024-05-26,C0095,P016,1,513.76,0.1,462.38,$17.59,Cancelled
O01313,2024-05-27,C0076,P013,2,257.23,,514.46,$25.26,Delivered
O00338,2024-05-28,C0071,P021,4,11.04,0.1,39.74,$30.90,Returned
O01821,2024-05-28,C0083,P006,5,959.76,0.1,4318.92,$6.74,Delivered
O00133,2024-05-29,C0117,P024,2,36.36,0.05,69.08,$35.24,Delivered
O00960,2024-05-29,C0017,P009,1,739.26,0.05,702.3,$40.12,Delivered
O02101,2024-05-29,C0194,P009,2,739.26,0.05,1404.59,$8.27,Cancelled
O00271,2024-05-30,C0031,P035,2,483.75,,967.5,$14.87,Delivered
O00390,2024-05-30,C0189,P004,2,986.74,0.2,1578.78,$38.39,Delivered
O00681,2024-05-30,C0068,P012,5,896.58,0.2,3586.32,$11.32,Delivered
O00977,2024-05-30,C0092,P020,1,13.35,,13.35,$16.66,Delivered
O02235,2024-05-30,C0131,P030,1,233.43,0.0,233.43,$20.09,Delivered
O00851,2024-05-31,C0067,P008,2,999.67,0.1,1799.41,$34.66,Returned
O01360,2024-06-01,C0078,P026,1,38.82,,38.82,$19.44,Delivered
O02119,2024-06-01,C0001,P014,1,386.46,0.0,386.46,$7.13,Delivered
O01235,2024-06-02,C0160,P021,2,11.04,0.1,19.87,$39.97,Cancelled
O01583,2024-06-02,C0163,P020,1,13.35,0.0,13.35,$10.01,Delivered
